type	accession	title	status	submission_date	last_update_date	project.queried_project_id	publication.publication_id
geo	GSE94041	TOP2 synergizes with BAF chromatin remodeling for both resolutions and formation of facultative heterochromatin	Public on Mar 01, 2017	25-Jan-2017	15-May-2019	R01CA163915	28250416
geo	GSE94041	TOP2 synergizes with BAF chromatin remodeling for both resolutions and formation of facultative heterochromatin	Public on Mar 01, 2017	25-Jan-2017	15-May-2019	R01CA163915
geo	GSE94040	esBAF chromatin remodeling complexes promote spacing of nucleosomes flanking pluripotency factor binding sites	Public on Mar 01, 2017	25-Jan-2017	15-May-2019	R01CA163915	28250416
geo	GSE94040	esBAF chromatin remodeling complexes promote spacing of nucleosomes flanking pluripotency factor binding sites	Public on Mar 01, 2017	25-Jan-2017	15-May-2019	R01CA163915
geo	GSE94039	TOP2 synergizes with BAF chromatin remodeling for resolution of facultative heterochromatin	Public on Mar 01, 2017	25-Jan-2017	15-May-2019	R01CA163915	28250416
geo	GSE94039	TOP2 synergizes with BAF chromatin remodeling for resolution of facultative heterochromatin	Public on Mar 01, 2017	25-Jan-2017	15-May-2019	R01CA163915
geo	GSE88997	Reconstituting development of pancreatic intraepithelial neoplasia from primary human pancreas duct cells	Public on Mar 14, 2017	20-Oct-2016	15-May-2019	R01CA211927	28272465
geo	GSE88997	Reconstituting development of pancreatic intraepithelial neoplasia from primary human pancreas duct cells	Public on Mar 14, 2017	20-Oct-2016	15-May-2019	R01CA211927
geo	GSE87164	Gene expression in MMTV-PyMT whole tumor, CD3+ lymphocytes or CD11b+ myeloid cells with and without Class IIa HDAC inhibitor treatment	Public on Mar 08, 2017	21-Sep-2016	4-Mar-2019	R01CA205967	28273064
geo	GSE87164	Gene expression in MMTV-PyMT whole tumor, CD3+ lymphocytes or CD11b+ myeloid cells with and without Class IIa HDAC inhibitor treatment	Public on Mar 08, 2017	21-Sep-2016	4-Mar-2019	R01CA205967
geo	GSE87163	MMTV-PyMT whole tumor gene expression with and without Class IIa HDAC inhibitor treatment	Public on Mar 08, 2017	21-Sep-2016	4-Mar-2019	R01CA205967	28273064
