type	clinical_trial_id	title	last_update_posted	recruitment_status	project.queried_project_id	publication.publication_id
clinical_trial	NCT01697566	An Endometrial Cancer Chemoprevention Study of Metformin	June 5, 2019	Active, not recruiting	P50CA098258
clinical_trial	NCT01737619	PET/CT and Lymph Node Mapping in Finding Lymph Node Metastasis in Patients With High-Risk Endometrial Cancer	November 19, 2021	Active, not recruiting	P50CA098258
clinical_trial	NCT00788671	Levonorgestrel-Releasing Intrauterine System in Treating Patients With Complex Atypical Hyperplasia or Grade I Endometrial Cancer	October 8, 2021	Active, not recruiting	P50CA098258	32805208
clinical_trial	NCT00788671	Levonorgestrel-Releasing Intrauterine System in Treating Patients With Complex Atypical Hyperplasia or Grade I Endometrial Cancer	October 8, 2021	Active, not recruiting	P50CA098258
clinical_trial	NCT01935973	Trametinib With or Without GSK2141795 in Treating Patients With Recurrent or Persistent Endometrial Cancer	October 14, 2020	Completed	P50CA098258
clinical_trial	NCT01440998	Dasatinib, Paclitaxel, and Carboplatin in Treating Patients With Stage III-IV or Recurrent Endometrial Cancer	April 5, 2018	Completed	P50CA098258
clinical_trial	NCT04614766	A Clinical Trial Evaluating the Safety of Combining Lutathera(R) and Azedra(R) to Treat Mid-gut Neuroendocrine Tumors (SPORE-3)	September 29, 2021	Not yet recruiting	P50CA174521
clinical_trial	NCT03724409	Selective Intra-arterial Injection of PRRT in Neuroendocrine Tumor Patients With Liver Metastases	January 28, 2021	Enrolling by invitation	P50CA174521
clinical_trial	NCT03335670	Gallium 68 Pentixafor in Patients With Neuroendocrine Tumors	April 13, 2021	Recruiting	P50CA174521
clinical_trial	NCT03044977	Study to Evaluate the Safety of Combining Two Radionuclide Therapies to Treat Mid-gut Neuroendocrine Tumors	November 17, 2021	Active, not recruiting	P50CA174521
clinical_trial	NCT04314284	Patient-Centered Intervention to Reduce Cancer Patients' Financial Toxicity	January 14, 2021	Recruiting	P50CA244431
clinical_trial	NCT04585919	Paired Promotion of Colorectal Cancer and Social Determinants of Health Screening	April 1, 2021	Enrolling by invitation	P50CA244433
clinical_trial	NCT04867850	Effect of Behavioral Nudges on Serious Illness Conversation Documentation (SPP2)	September 14, 2021	Recruiting	P50CA244690	34563227
clinical_trial	NCT04867850	Effect of Behavioral Nudges on Serious Illness Conversation Documentation (SPP2)	September 14, 2021	Recruiting	P50CA244690
