type	publication_id	year	journal	title	authors	publish_date	citation_count	citation_count_category	relative_citation_ratio	rcr_range	nih_percentile	doi	project.queried_project_id
publication	26988926	2018	Stat Methods Med Res	Phase I/II dose-finding design for molecularly targeted agent: Plateau determination using adaptive randomization.	Marie-Karelle Riviere, Ying Yuan, Jacques-Henri Jourdan, Frédéric Dubois, Sarah Zohar	1-Feb-2018	12	10 to 14	0.89	0.8 to 1.25	45.7	10.1177/0962280216631763	P50CA098258
publication	27641825	2017	Semin Cell Dev Biol	Cellular adaptation to biomechanical stress across length scales in tissue homeostasis and disease.	Penney M Gilbert, Valerie M Weaver	1-Jul-2017	31	>=20	1.82	1.25 to 2	71.9	10.1016/j.semcdb.2016.09.004	R01CA192914
publication	27696777	2017	Arthritis Care Res (Hoboken)	Association of Anti-Citrullinated Peptide Antibodies With Coronary Artery Calcification in Rheumatoid Arthritis.	Laura Geraldino-Pardilla, Jon T Giles, Jeremy Sokolove, Afshin Zartoshti, William H Robinson, Matthew Budoff, Robert Detrano, Sabahat Bokhari, Joan M Bathon	1-Aug-2017	13	10 to 14	0.87	0.8 to 1.25	45.1	10.1002/acr.23106	R01AR050026
publication	27770279	2017	J Neurooncol	NRG oncology RTOG 0625: a randomized phase II trial of bevacizumab with either irinotecan or dose-dense temozolomide in recurrent glioblastoma.	Mark R Gilbert, Stephanie L Pugh, Ken Aldape, A Gregory Sorensen, Tom Mikkelsen, Marta Penas-Prado, Felix Bokstein, Young Kwok, R Jeffrey Lee, Minesh Mehta	1-Jan-2017	27	>=20	1.61	1.25 to 2	67.7	10.1007/s11060-016-2288-5	U24CA180803
publication	27795415	2016	J Virol	Interferon Regulatory Factor 1 and Type I Interferon Cooperate To Control Acute Gammaherpesvirus Infection.	Wadzanai P Mboko, Michaela M Rekow, Mitchell P Ledwith, Philip T Lange, Kaitlin E Schmitz, Sean Anderson, Vera L Tarakanova	16-Dec-2016	13	10 to 14	0.56	0.5 to 0.8	30.5	10.1128/JVI.01444-16	R01CA203923
publication	27843033	2017	Int J Radiat Oncol Biol Phys	Benchmark Credentialing Results for NRG-BR001: The First National Cancer Institute-Sponsored Trial of Stereotactic Body Radiation Therapy for Multiple Metastases.	Hania A Al-Hallaq, Steven J Chmura, Joseph K Salama, Jessica R Lowenstein, Susan McNulty, James M Galvin, David S Followill, Clifford G Robinson, Thomas M Pisansky, Kathryn A Winter, Julia R White, Ying Xiao, Martha M Matuszak	1-Jan-2017	14	10 to 14	0.88	0.8 to 1.25	45.6	10.1016/j.ijrobp.2016.09.030	U24CA180803
publication	27888331	2017	Semin Immunopathol	The origin of DCs and capacity for immunologic tolerance in central and peripheral tissues.	K Sanjana P Devi, Niroshana Anandasabapathy	1-Feb-2017	34	>=20	1.61	1.25 to 2	67.8	10.1007/s00281-016-0602-0	R01AR070234
publication	27926786	2017	Histopathology	NUT midline carcinoma of the larynx: an international series and review of the literature.	Henrik Hellquist, Christopher A French, Justin A Bishop, Andrés Coca-Pelaz, Evan J Propst, António Paiva Correia, Bo-Yee Ngan, Ronald Grant, Nicole A Cipriani, David Vokes, Rui Henrique, Fernando Pardal, Jose Ramon Vizcaino, Alessandra Rinaldo, Alfio Ferlito	1-May-2017	21	>=20	1.7	1.25 to 2	69.6	10.1111/his.13143	R01CA124633
publication	27937092	2017	J Clin Oncol	Cetuximab Plus Chemoradiotherapy for HIV-Associated Anal Carcinoma: A Phase II AIDS Malignancy Consortium Trial.	Joseph A Sparano, Jeannette Y Lee, Joel Palefsky, David H Henry, William Wachsman, Lakshmi Rajdev, David Aboulafia, Lee Ratner, Thomas J Fitzgerald, Lisa Kachnic, Ronald Mitsuyasu	1-Mar-2017	37	>=20	2.3	2 to 5	78.9	10.1200/JCO.2016.69.1642	U24CA180803
publication	28063166	2017	Int J Cancer	Cigarette smoking is associated with adverse survival among women with ovarian cancer: Results from a pooled analysis of 19 studies.	Camilla Praestegaard, Allan Jensen, Signe M Jensen, Thor S S Nielsen, Penelope M Webb, Christina M Nagle, Anna DeFazio, Estrid Høgdall, Mary Anne Rossing, Jennifer A Doherty, Kristine G Wicklund, Marc T Goodman, Francesmary Modugno, Kirsten Moysich, Roberta B Ness, Robert Edwards, Keitaro Matsuo, Satoyo Hosono, Ellen L Goode, Stacey J Winham, Brooke L Fridley, Daniel W Cramer, Kathryn L Terry, Joellen M Schildkraut, Andrew Berchuck, Elisa V Bandera, Lisa E Paddock, Leon F Massuger, Nicolas Wentzensen, Paul Pharoah, Honglin Song, Alice Whittemore, Valerie McGuire, Weiva Sieh, Joseph Rothstein, Hoda Anton-Culver, Argyrios Ziogas, Usha Menon, Simon A Gayther, Susan J Ramus, Alexandra Gentry-Maharaj, Anna H Wu, Celeste L Pearce, Malcolm Pike, Alice W Lee, Rebecca Sutphen, Jenny Chang-Claude, Harvey A Risch, Susanne K Kjaer	1-Jun-2017	11	10 to 14	0.68	0.5 to 0.8	36.3	10.1002/ijc.30600	R01CA188900
