type	publication_id	pmc_id	year	journal	title	authors	publish_date	citation_count	relative_citation_ratio	rcr_range	nih_percentile	doi	project.project_id
publication	30325853	PMC6193263	2018	Pancreas	Intercepting Pancreatic Cancer: Our Dream Team's Resolve to Stop Pancreatic Cancer.	"Michael G Goggins, Scott M Lippman, Pamela E Constantinou, Tyler Jacks, Gloria M Petersen, Sapna Syngal, Anirban Maitra"		0	0	< 0.2	0	10.1097/MPA.0000000000001165	1U24CA224020-01
publication	30530829		2019	J Nucl Med	Use of a Qualification Phantom for PET Brain Imaging in a Multicenter Consortium: A Collaboration Between the Pediatric Brain Tumor Consortium and the SNMMI Clinical Trials Network.	"Frederic Fahey, Paul Christian, Katherine Zukotynski, Briana Sexton-Stallone, Christina Kiss, Bonnie Clarke, Arzu Onar-Thomas, Tina Young Poussaint"		0	0	< 0.2	0	10.2967/jnumed.118.219998	2UM1CA081457-21
publication	31158105		2019	Curr Opin Urol	Somatic and germline sequencing in genitourinary oncology: genetics for the clinician.	"Jonathan E Shoag, David R Wise, Ravi N Sharaf, Cora N Sternberg"		0	0	< 0.2	0	10.1097/MOU.0000000000000643	1R01CA211723-01A1
publication	31360645	PMC6662936	2019	Transl Cancer Res	Multimodal action of ONECUT2 in driving neuroendocrine prostate cancer.	"Salma Kaochar, Nicholas Mitsiades"		0	0	< 0.2	0	10.21037/tcr.2019.02.08	1U54CA233223-01
publication	31606083	PMC7379381	2019	Methods Enzymol	Assays for tyrosine phosphorylation in human cells.	"Monica Kruk, Naomi Widstrom, Sampreeti Jena, Nicole L Wolter, John F Blankenhorn, Ibrahim Abdalla, Tzu-Yi Yang, Laurie L Parker"		0	0	< 0.2	0	10.1016/bs.mie.2019.06.026	3R01CA182543-05S2
publication	30040862	PMC6057665	2018	PLoS One	Correction: Biophotonic detection of high order chromatin alterations in field carcinogenesis predicts risk of future hepatocellular carcinoma: A pilot study.	"Richard S Kalman, Andrew Stawarz, David Nunes, Di Zhang, Mart A Dela Cruz, Arpan Mohanty, Hariharan Subramanian, Vadim Backman, Hemant K Roy"		1	0.05	< 0.2	2.6	10.1371/journal.pone.0201500	1R33CA225323-01
publication	29549183	PMC6263032	2018	Clin Chem	Ultrasensitive Detection of Chimerism by Single-Molecule Molecular Inversion Probe Capture and High-Throughput Sequencing of Copy Number Deletion Polymorphisms.	"David Wu, Adam Waalkes, Kelsi Penewit, Stephen J Salipante"		1	0.07	< 0.2	3.4	10.1373/clinchem.2017.284737	3R33CA192980-03S1
publication	31231465	PMC6570473	2019	Oncotarget	Investigating the role of LSD2 as an epigenetic regulator in Ewing sarcoma.	"Priyal O Patel, Kathleen I Pishas, Cenny Taslim, Julia Selich-Anderson, Emily R Theisen, Stephen L Lessnick"		1	0.1	< 0.2	4.5	10.18632/oncotarget.26988	1U54CA231641-01
publication	27598410	PMC5012566	2016	PLoS One	A Cell-Based Assay for Measuring Endogenous BcrAbl Kinase Activity and Inhibitor Resistance.	"Steven B Ouellette, Brett M Noel, Laurie L Parker"		2	0.11	< 0.2	5.1	10.1371/journal.pone.0161748	3R01CA182543-05S2
publication	30470300	PMC6742839	2018	Trends Cancer	Exons of Leukemia Suppressor Genes: Creative Assembly Required.	"Mukta Asnani, Andrei Thomas-Tikhonenko"		2	0.13	< 0.2	6	10.1016/j.trecan.2018.10.005	1U01CA232563-01
publication	29528224	PMC5982514	2018	Biochemistry	In Silico Design and in Vitro Characterization of Universal Tyrosine Kinase Peptide Substrates.	"Laura J Marholz, Nicholas A Zeringo, Hua Jane Lou, Benjamin E Turk, Laurie L Parker"		2	0.18	< 0.2	8.8	10.1021/acs.biochem.8b00044	3R01CA182543-05S2
publication	31357169	PMC6664223	2019	iScience	A Cancer-Associated Missense Mutation in PP2A-Aα Increases Centrosome Clustering during Mitosis.	"Noelle V Antao, Marina Marcet-Ortega, Paolo Cifani, Alex Kentsis, Emily A Foley"		3	0.21	0.2 to 0.5	10.4	10.1016/j.isci.2019.07.018	3R01CA204396-02S1
publication	31600961	PMC6829260	2019	Int J Mol Sci	Methionine Adenosyltransferase 1a (MAT1A) Enhances Cell Survival During Chemotherapy Treatment and is Associated with Drug Resistance in Bladder Cancer PDX Mice.	"Kelly A Martin, Nicholas R Hum, Aimy Sebastian, Wei He, Salma Siddiqui, Paramita M Ghosh, Chong-Xian Pan, Ralph de Vere White, Gabriela G Loots"		2	0.21	0.2 to 0.5	10.2	10.3390/ijms20204983	1U54CA233306-01
publication	28235762	PMC5487257	2017	Cancer Res	Cellular Hierarchy as a Determinant of Tumor Sensitivity to Chemotherapy.	"Ignacio A Rodriguez-Brenes, Antonina V Kurtova, Christopher Lin, Yu-Cheng Lee, Jing Xiao, Martha Mims, Keith Syson Chan, Dominik Wodarz"		4	0.22	0.2 to 0.5	10.8	10.1158/0008-5472.CAN-16-2434	3R01CA175397-07S1
publication	31371596	PMC7449598	2019	Science	Cancer cell evolution through the ages.	"Carlo C Maley, Darryl Shibata"		2	0.22	0.2 to 0.5	10.8	10.1126/science.aay2859	1U2CCA233254-01
publication	30984796	PMC6460496	2019	EGEMS (Wash DC)	The Healthcare Systems Research Network (HCSRN) as an Environment for Dissemination and Implementation Research: A Case Study of Developing a Multi-Site Research Study in Precision Medicine.	"Alanna Kulchak Rahm, Ilene Ladd, Andrea N Burnett-Hartman, Mara M Epstein, Jan T Lowery, Christine Y Lu, Pamala A Pawloski, Ravi N Sharaf, Su-Ying Liang, Jessica Ezzell Hunter"		1	0.23	0.2 to 0.5	11.7	10.5334/egems.283	1R01CA211723-01A1
publication	27426233	PMC4947905	2016	Sci Rep	"Modular, Antibody-free Time-Resolved LRET Kinase Assay Enabled by Quantum Dots and Tb(3+)-sensitizing Peptides."	"Wei Cui, Laurie L Parker"		4	0.24	0.2 to 0.5	12	10.1038/srep28971	3R01CA182543-05S2
publication	29771950	PMC5957523	2018	PLoS One	Biophotonic detection of high order chromatin alterations in field carcinogenesis predicts risk of future hepatocellular carcinoma: A pilot study.	"Richard S Kalman, Andrew Stawarz, David Nunes, Di Zhang, Mart A Dela Cruz, Arpan Mohanty, Hariharan Subramanian, Vadim Backman, Hemant K Roy"		1	0.24	0.2 to 0.5	11.9	10.1371/journal.pone.0197427	1R33CA225323-01
publication	30086799	PMC6081859	2018	J Immunother Cancer	A possible new pathway in natural killer cell activation also reveals the difficulty in determining human NK cell function in cancer.	"Robert J Canter, William J Murphy"		3	0.24	0.2 to 0.5	12.1	10.1186/s40425-018-0392-0	1U01CA224166-01
publication	30541869	PMC6398213	2019	Mol Cell Proteomics	High-throughput Identification of FLT3 Wild-type and Mutant Kinase Substrate Preferences and Application to Design of Sensitive In Vitro Kinase Assay Substrates.	"Minervo Perez, John Blankenhorn, Kevin J Murray, Laurie L Parker"		2	0.24	0.2 to 0.5	12.2	10.1074/mcp.RA118.001111	3R01CA182543-05S2
publication	30909651	PMC6463023	2019	J Clin Med	Epigenetic Changes at the Birc5 Promoter Induced by YM155 in Synovial Sarcoma.	"Aleksander Mika, Sarah E Luelling, Adriene Pavek, Christopher Nartker, Alexandra L Heyneman, Kevin B Jones, Jared J Barrott"		2	0.24	0.2 to 0.5	12.1	10.3390/jcm8030408	1U54CA231652-01
publication	27698495	PMC5047744	2016	PLoS One	The Oncoprotein BRD4-NUT Generates Aberrant Histone Modification Patterns.	"Barry M Zee, Amy B Dibona, Artyom A Alekseyenko, Christopher A French, Mitzi I Kuroda"		8	0.31	0.2 to 0.5	16	10.1371/journal.pone.0163820	3R01CA124633-11A1S1
publication	30726756	PMC6556472	2019	Cell Metab	mTOR Is Key to T Cell Transdifferentiation.	"Jiawei Yan, Ruoning Wang, Tiffany Horng"		3	0.31	0.2 to 0.5	16.4	10.1016/j.cmet.2019.01.008	1U01CA232488-01
publication	31700186	PMC7220800	2019	Nat Med	Chromatin regulators mediate anthracycline sensitivity in breast cancer.	"Jose A Seoane, Jacob G Kirkland, Jennifer L Caswell-Jin, Gerald R Crabtree, Christina Curtis"		4	0.34	0.2 to 0.5	18	10.1038/s41591-019-0638-5	3R01CA163915-07S1
publication	29471289	PMC5883624	2018	Neoplasia	Single Nucleotide Polymorphism Facilitated Down-Regulation of the Cohesin Stromal Antigen-1: Implications for Colorectal Cancer Racial Disparities.	"Somenath Datta, Richard M Sherva, Mart De La Cruz, Michelle T Long, Priya Roy, Vadim Backman, Sanjib Chowdhury, Hemant K Roy"		5	0.37	0.2 to 0.5	19.6	10.1016/j.neo.2018.01.003	1R33CA225323-01
publication	30560892	PMC6298990	2018	Sci Rep	High-resolution deconstruction of evolution induced by chemotherapy treatments in breast cancer xenografts.	"Hyunsoo Kim, Pooja Kumar, Francesca Menghi, Javad Noorbakhsh, Eliza Cerveira, Mallory Ryan, Qihui Zhu, Guruprasad Ananda, Joshy George, Henry C Chen, Susan Mockus, Chengsheng Zhang, Yan Yang, James Keck, R Krishna Murthy Karuturi, Carol J Bult, Charles Lee, Edison T Liu, Jeffrey H Chuang"		7	0.37	0.2 to 0.5	19.7	10.1038/s41598-018-36184-8	1U24CA224067-01
publication	31213465		2019	Cancer Res	Chromosome 12p Amplification in Triple-Negative/BRCA1-Mutated Breast Cancer Associates with Emergence of Docetaxel Resistance and Carboplatin Sensitivity.	"Jorge Gómez-Miragaya, Ander Díaz-Navarro, Raul Tonda, Sergi Beltran, Luis Palomero, Marta Palafox, Lacey E Dobrolecki, Chen Huang, Suhas Vasaikar, Bing Zhang, Gerburg M Wulf, Alejandro Collado-Sole, Eva M Trinidad, Purificación Muñoz, Laia Paré, Aleix Prat, Alejandra Bruna, Carlos Caldas, Joaquín Arribas, María Teresa Soler-Monso, Anna Petit, Judith Balmaña, Cristina Cruz, Violeta Serra, Miguel Angel Pujana, Michael T Lewis, Xose S Puente, Eva González-Suárez"		4	0.38	0.2 to 0.5	20	10.1158/0008-5472.CAN-18-3835	3U54CA224076-01S2
publication	30625194	PMC6326565	2019	PLoS One	Comparison between continuous and discrete doses for model based designs in cancer dose finding.	"Márcio Augusto Diniz, Mourad Tighiouart, André Rogatko"		3	0.39	0.2 to 0.5	21	10.1371/journal.pone.0210139	1U01CA232859-01
publication	31135529	PMC6617517	2019	Cancer J	Escape From ALL-CARTaz: Leukemia Immunoediting in the Age of Chimeric Antigen Receptors.	"Sisi Zheng, Mukta Asnani, Andrei Thomas-Tikhonenko"		5	0.39	0.2 to 0.5	21	10.1097/PPO.0000000000000381	1U01CA232563-01
publication	30899417	PMC6420793	2019	Genes Cancer	Transcriptomic analysis functionally maps the intrinsically disordered domain of EWS/FLI and reveals novel transcriptional dependencies for oncogenesis.	"Emily R Theisen, Kyle R Miller, Iftekhar A Showpnil, Cenny Taslim, Kathleen I Pishas, Stephen L Lessnick"		5	0.4	0.2 to 0.5	21.4	10.18632/genesandcancer.188	1U54CA231641-01
